modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,.iter,tree_depth,learn_rate,loss_reduction,sample_size
RF,bayes,f_meas,binary,0.9375071818191673,5,0.0038135399121141797,4,47,iter01,1,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9847436872894391,5,0.0035333988650346963,4,47,iter01,1,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9328464861046315,5,0.012049963011023675,4,47,iter01,1,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9396071908088499,5,0.004756735540531114,5,30,iter02,2,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9842767551736741,5,0.003917661188637629,5,30,iter02,2,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9324834452654001,5,0.013167682424796379,5,30,iter02,2,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9381053358795061,5,0.004805000411703571,4,37,iter03,3,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9847805783637287,5,0.003286031166308679,4,37,iter03,3,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9323015933291622,5,0.011578255362787252,4,37,iter03,3,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9392760959370637,5,0.004266725389646954,4,30,iter04,4,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9846546396299888,5,0.0037014186850883642,4,30,iter04,4,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9334173577281346,5,0.012011235995037773,4,30,iter04,4,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9075969293398235,5,0.0010894279220787205,2,50,iter05,5,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9834056525800371,5,0.003358818766348768,2,50,iter05,5,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9250111811515319,5,0.01237892653016239,2,50,iter05,5,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9253694953445658,5,0.0018897851881314051,3,35,iter06,6,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9847224348812351,5,0.003240368219121393,3,35,iter06,6,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9318556130586205,5,0.011461645493679076,3,35,iter06,6,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9389987044585584,5,0.005666110477779093,4,17,iter07,7,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9843625020644395,5,0.0039129114344217146,4,17,iter07,7,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9329543194204848,5,0.012658321878244937,4,17,iter07,7,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9336511430366172,5,0.004189230075449936,3,23,iter08,8,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9845355872048634,5,0.003203450158687467,3,23,iter08,8,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9315251813998681,5,0.011198331481816285,3,23,iter08,8,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.93937162865258,5,0.004525076291325051,4,33,iter09,9,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9849355044324292,5,0.003368421166962631,4,33,iter09,9,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9335590057394568,5,0.01185704683534416,4,33,iter09,9,NA,NA,NA,NA
RF,bayes,f_meas,binary,0.9401165784548114,5,0.004159937313156902,4,35,iter10,10,NA,NA,NA,NA
RF,bayes,pr_auc,binary,0.9848462799837859,5,0.003437733786017627,4,35,iter10,10,NA,NA,NA,NA
RF,bayes,roc_auc,binary,0.9334619617827637,5,0.01184057599399437,4,35,iter10,10,NA,NA,NA,NA
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,2,28,pre0_mod01_post0,0,3,6.158482110660267e-4,5.455594781168514e-6,0.5
GBM,bayes,pr_auc,binary,0.9150025635767023,5,5.004357811179393e-4,2,28,pre0_mod01_post0,0,3,6.158482110660267e-4,5.455594781168514e-6,0.5
GBM,bayes,roc_auc,binary,0.5,5,0,2,28,pre0_mod01_post0,0,3,6.158482110660267e-4,5.455594781168514e-6,0.5
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,2,32,pre0_mod02_post0,0,5,0.0018329807108324356,1.438449888287663e-7,0.8947368421052632
GBM,bayes,pr_auc,binary,0.9177242270999839,5,0.005880236151928732,2,32,pre0_mod02_post0,0,5,0.0018329807108324356,1.438449888287663e-7,0.8947368421052632
GBM,bayes,roc_auc,binary,0.6914222183645743,5,0.013372985936061402,2,32,pre0_mod02_post0,0,5,0.0018329807108324356,1.438449888287663e-7,0.8947368421052632
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,3,2,pre0_mod03_post0,0,5,8.858667904100823e-4,2.0691380811147902e-4,0.7105263157894737
GBM,bayes,pr_auc,binary,0.9834300981540861,5,0.0030704849456793036,3,2,pre0_mod03_post0,0,5,8.858667904100823e-4,2.0691380811147902e-4,0.7105263157894737
GBM,bayes,roc_auc,binary,0.9265921537851363,5,0.011435812228945574,3,2,pre0_mod03_post0,0,5,8.858667904100823e-4,2.0691380811147902e-4,0.7105263157894737
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,3,10,pre0_mod04_post0,0,1,4.2813323987193956e-4,6.158482110660255e-5,0.8421052631578947
GBM,bayes,pr_auc,binary,0.9714684294712921,5,0.004408824176088902,3,10,pre0_mod04_post0,0,1,4.2813323987193956e-4,6.158482110660255e-5,0.8421052631578947
GBM,bayes,roc_auc,binary,0.8735639604060657,5,0.01894328514296601,3,10,pre0_mod04_post0,0,1,4.2813323987193956e-4,6.158482110660255e-5,0.8421052631578947
GBM,bayes,f_meas,binary,0.9248385040732116,5,0.007260521775627014,4,14,pre0_mod05_post0,0,3,0.06951927961775606,0.002335721469090121,0.9736842105263157
GBM,bayes,pr_auc,binary,0.9739919634432234,5,0.0023266317769398766,4,14,pre0_mod05_post0,0,3,0.06951927961775606,0.002335721469090121,0.9736842105263157
GBM,bayes,roc_auc,binary,0.8888724938850251,5,0.008928879703255782,4,14,pre0_mod05_post0,0,3,0.06951927961775606,0.002335721469090121,0.9736842105263157
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,4,26,pre0_mod06_post0,0,1,0.03359818286283781,3.3598182862837877e-10,0.7368421052631579
GBM,bayes,pr_auc,binary,0.915581475607241,5,0.0043326330420399356,4,26,pre0_mod06_post0,0,1,0.03359818286283781,3.3598182862837877e-10,0.7368421052631579
GBM,bayes,roc_auc,binary,0.6798336630416831,5,0.016400710944892465,4,26,pre0_mod06_post0,0,1,0.03359818286283781,3.3598182862837877e-10,0.7368421052631579
GBM,bayes,f_meas,binary,0.9065895179499375,5,7.948297542801048e-4,5,20,pre0_mod07_post0,0,6,0.1,1.274274985703132e-8,0.631578947368421
GBM,bayes,pr_auc,binary,0.9375287491830279,5,0.0052516338788165615,5,20,pre0_mod07_post0,0,6,0.1,1.274274985703132e-8,0.631578947368421
GBM,bayes,roc_auc,binary,0.7568342453054232,5,0.015690886455141554,5,20,pre0_mod07_post0,0,6,0.1,1.274274985703132e-8,0.631578947368421
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,5,40,pre0_mod08_post0,0,1,0.00379269019073225,0.08858667904100832,0.8157894736842105
GBM,bayes,pr_auc,binary,0.9150025635767023,5,5.004357811179393e-4,5,40,pre0_mod08_post0,0,1,0.00379269019073225,0.08858667904100832,0.8157894736842105
GBM,bayes,roc_auc,binary,0.5,5,0,5,40,pre0_mod08_post0,0,1,0.00379269019073225,0.08858667904100832,0.8157894736842105
GBM,bayes,f_meas,binary,0.9104579126772913,5,0.0054810915689630394,6,12,pre0_mod09_post0,0,2,0.04832930238571752,0.026366508987303555,0.5789473684210527
GBM,bayes,pr_auc,binary,0.9695492457356789,5,0.0032380744038062446,6,12,pre0_mod09_post0,0,2,0.04832930238571752,0.026366508987303555,0.5789473684210527
GBM,bayes,roc_auc,binary,0.8658779584844748,5,0.01302899371902727,6,12,pre0_mod09_post0,0,2,0.04832930238571752,0.026366508987303555,0.5789473684210527
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,6,30,pre0_mod10_post0,0,6,0.007847599703514606,1,0.6842105263157895
GBM,bayes,pr_auc,binary,0.8591790904038396,5,0.011579024500312084,6,30,pre0_mod10_post0,0,6,0.007847599703514606,1,0.6842105263157895
GBM,bayes,roc_auc,binary,0.5437626051661139,5,0.026873128299859973,6,30,pre0_mod10_post0,0,6,0.007847599703514606,1,0.6842105263157895
GBM,bayes,f_meas,binary,0.9220126759707381,5,0.0012823076583397435,7,8,pre0_mod11_post0,0,4,0.0026366508987303583,1e-10,0.9473684210526315
GBM,bayes,pr_auc,binary,0.9837043868149159,5,0.0033685987395681138,7,8,pre0_mod11_post0,0,4,0.0026366508987303583,1e-10,0.9473684210526315
GBM,bayes,roc_auc,binary,0.9307898172559826,5,0.012043195862685816,7,8,pre0_mod11_post0,0,4,0.0026366508987303583,1e-10,0.9473684210526315
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,7,34,pre0_mod12_post0,0,2,1e-4,3.792690190732254e-9,0.7894736842105263
GBM,bayes,pr_auc,binary,0.8595553252784796,5,0.012336535311991711,7,34,pre0_mod12_post0,0,2,1e-4,3.792690190732254e-9,0.7894736842105263
GBM,bayes,roc_auc,binary,0.5445085477040364,5,0.028572639516909155,7,34,pre0_mod12_post0,0,2,1e-4,3.792690190732254e-9,0.7894736842105263
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,8,4,pre0_mod13_post0,0,2,0.0012742749857031334,1.1288378916846883e-9,0.5526315789473684
GBM,bayes,pr_auc,binary,0.9800178817525926,5,0.0036463665148380405,8,4,pre0_mod13_post0,0,2,0.0012742749857031334,1.1288378916846883e-9,0.5526315789473684
GBM,bayes,roc_auc,binary,0.9148463993075522,5,0.013567565100129303,8,4,pre0_mod13_post0,0,2,0.0012742749857031334,1.1288378916846883e-9,0.5526315789473684
GBM,bayes,f_meas,binary,0.9071055775323746,5,5.986166142171922e-4,8,22,pre0_mod14_post0,0,4,2.0691380811147902e-4,0.007847599703514606,1
GBM,bayes,pr_auc,binary,0.9673169541784322,5,0.0043595745648049135,8,22,pre0_mod14_post0,0,4,2.0691380811147902e-4,0.007847599703514606,1
GBM,bayes,roc_auc,binary,0.8556392182958599,5,0.015930793583195105,8,22,pre0_mod14_post0,0,4,2.0691380811147902e-4,0.007847599703514606,1
