modelo,busqueda,.metric,.estimator,mean,n,std_err,mtry,min_n,.config,tree_depth,learn_rate,loss_reduction,sample_size
GBM,grid,f_meas,binary,0.9205640192933575,5,0.0060979365358548076,3,15,pre0_mod28_post0,3,0.03,0.01,0.9
GBM,grid,pr_auc,binary,0.9729670290883109,5,0.0030104146751667492,3,15,pre0_mod28_post0,3,0.03,0.01,0.9
GBM,grid,roc_auc,binary,0.8841351213531664,5,0.011556449874790398,3,15,pre0_mod28_post0,3,0.03,0.01,0.9
GBM,grid,f_meas,binary,0.908003897019311,5,0.005630789433142915,3,15,pre0_mod29_post0,3,0.08,1e-5,0.7
GBM,grid,pr_auc,binary,0.964396890640534,5,0.0028558610351646693,3,15,pre0_mod29_post0,3,0.08,1e-5,0.7
GBM,grid,roc_auc,binary,0.8484301181043035,5,0.010408895697478058,3,15,pre0_mod29_post0,3,0.08,1e-5,0.7
GBM,grid,f_meas,binary,0.9194819307487686,5,0.006636370625028759,3,15,pre0_mod30_post0,3,0.08,1e-5,0.9
GBM,grid,pr_auc,binary,0.9690185598784262,5,0.002598711380774819,3,15,pre0_mod30_post0,3,0.08,1e-5,0.9
GBM,grid,roc_auc,binary,0.868803261159151,5,0.010324393189926548,3,15,pre0_mod30_post0,3,0.08,1e-5,0.9
GBM,grid,f_meas,binary,0.9076532285573369,5,0.004105899782354725,3,15,pre0_mod31_post0,3,0.08,0.01,0.7
GBM,grid,pr_auc,binary,0.9658578955864584,5,0.003428939678768458,3,15,pre0_mod31_post0,3,0.08,0.01,0.7
GBM,grid,roc_auc,binary,0.853487554866001,5,0.011894784603370548,3,15,pre0_mod31_post0,3,0.08,0.01,0.7
GBM,grid,f_meas,binary,0.9204350668570179,5,0.006169504439128862,3,15,pre0_mod32_post0,3,0.08,0.01,0.9
GBM,grid,pr_auc,binary,0.9715586075542884,5,0.002185783963356171,3,15,pre0_mod32_post0,3,0.08,0.01,0.9
GBM,grid,roc_auc,binary,0.8773988241406788,5,0.008846990481326759,3,15,pre0_mod32_post0,3,0.08,0.01,0.9
